规则编号,合同类型,审核模块,风险名称,检查点,触发条件,默认风险等级,修改建议模板,示例问题条款
COM-PER-003,通用,履约,验收标准缺失,是否明确验收标准、验收流程、验收期限,约定验收但未说明验收标准或流程,高,建议明确验收标准、验收材料、验收期限和异议处理机制,甲方验收合格后付款。
COM-PER-004,通用,履约,通知方式不明确,是否明确双方通知方式和送达规则,合同涉及通知但未说明邮箱、地址或送达时间,低,建议明确书面通知方式、电子邮件、联系人及送达规则,任何通知应发送给对方。
COM-PER-005,通用,履约,双方配合义务不明确,是否明确甲乙双方应提供的资料、人员、系统或场地,合同履行依赖配合但未写清配合义务,中,建议明确双方配合事项、完成时间和未配合后果,甲方应配合乙方开展工作。
COM-PER-006,通用,履约,变更流程缺失,是否约定需求、范围、价格或期限变更流程,合同可能发生变更但未约定审批和书面确认流程,中,建议约定变更须经双方书面确认，并明确价格和期限调整方式,合同内容可根据实际情况调整。
PUR-FIN-001,采购合同,财务,采购单价不明确,是否明确货物单价、数量、总价和计价方式,只写总价或只写数量，缺少单价或计价方式,高,建议明确各项货物的名称、规格、数量、单价和总价,采购金额以最终订单为准。
PUR-FIN-002,采购合同,财务,价格调整机制缺失,是否约定原材料、汇率、税率变化时价格是否调整,长期采购但未约定价格调整规则,中,建议明确价格固定或调整条件、调整公式和确认流程,价格根据市场情况调整。
PUR-FIN-003,采购合同,财务,预付款风险过高,是否存在较高比例预付款且缺少保障措施,预付款比例较高但未约定担保、分批交付或退款机制,高,建议降低预付款比例，或增加履约保证、分批付款和退款条款,甲方应在合同签订后支付全部货款。
PUR-FIN-004,采购合同,财务,尾款支付条件不明确,是否明确尾款支付与验收、质保期之间的关系,尾款支付条件未与验收或质保挂钩,中,建议明确尾款在验收合格后或质保期届满后支付,甲方应在交付后支付尾款。
PUR-FIN-005,采购合同,财务,质保金条款缺失,是否根据采购物品性质约定质保金比例和返还条件,涉及设备或重要物资但未约定质保金,中,建议约定质保金比例、扣留期限、返还条件及扣除情形,甲方按合同总价支付全部价款。
PUR-FIN-006,采购合同,财务,运费承担不明确,是否明确运输费、保险费、装卸费由谁承担,涉及货物运输但未约定运输费用承担方,中,建议明确运费、保险费、装卸费、包装费等费用承担方式,乙方负责将货物送达甲方。
PUR-FIN-007,采购合同,财务,结算依据不明确,是否约定以订单、送货单、验收单或发票作为结算依据,付款结算材料不明确,中,建议明确结算依据，包括订单、送货单、验收单、发票等,双方按实际供货数量结算。
PUR-LAW-001,采购合同,法务,货物所有权转移不明确,是否明确货物所有权何时转移,未约定所有权在付款、交付或验收时转移,中,建议明确所有权转移节点，例如付清货款或验收合格后转移,货物交付后归甲方所有。
PUR-LAW-002,采购合同,法务,货物风险转移不明确,是否明确货物毁损灭失风险何时转移,未约定运输、交付、验收期间风险归属,高,建议明确风险在签收、交付或验收合格时转移,运输过程中发生问题由双方协商。
PUR-LAW-003,采购合同,法务,质量保证责任缺失,是否明确供应商质量保证义务和质量问题责任,仅写质量合格但未约定质量责任,高,建议补充质量保证、维修、更换、退货和赔偿责任,乙方保证货物质量符合要求。
PUR-LAW-004,采购合同,法务,知识产权侵权责任缺失,采购物品是否可能涉及专利、商标、软件或技术授权,涉及品牌、设备、软件或技术但未约定侵权责任,中,建议约定供应商保证不侵犯第三方权利，并承担侵权赔偿责任,乙方提供相关产品。
PUR-LAW-005,采购合同,法务,供应商资质缺失,是否要求供应商具备生产、销售、许可或认证资质,涉及特殊商品但未约定资质证明,高,建议要求供应商提供营业执照、许可资质、产品认证等材料,乙方应按约供货。
PUR-LAW-006,采购合同,法务,违约责任不对等,是否存在只约束采购方、不约束供应商的违约条款,合同对甲方付款违约责任明确，但对乙方交付或质量违约责任不明确,中,建议补充供应商逾期交付、质量不合格、少交错交的违约责任,甲方逾期付款应支付违约金。
PUR-LAW-007,采购合同,法务,退换货权利不明确,是否约定质量不合格、规格不符时的退换货权利,未约定退货、更换、补货或费用承担,中,建议明确退换货条件、处理期限、运费承担和赔偿责任,质量问题由乙方负责处理。
PUR-PER-001,采购合同,履约,货物规格型号不明确,是否明确货物名称、品牌、型号、规格、数量,仅写采购货物但未列明规格型号,高,建议在合同或附件中列明货物清单、规格型号、品牌、数量,乙方向甲方供应相关货物。
PUR-PER-002,采购合同,履约,交货时间不明确,是否明确具体交货日期或分批交货计划,使用尽快交货、根据需要交货等模糊表述,中,建议明确交货日期、分批计划及逾期交付责任,乙方应尽快完成交货。
PUR-PER-003,采购合同,履约,交货地点不明确,是否明确收货地址、联系人和交货方式,未写明交货地点或收货联系人,中,建议明确交货地点、收货联系人、联系方式和交付方式,乙方将货物交付甲方。
PUR-PER-004,采购合同,履约,包装标准不明确,是否约定包装方式、防护标准和包装损坏责任,货物需要运输但未约定包装标准,低,建议明确包装材料、标识、防护要求和包装不当责任,乙方负责包装货物。
PUR-PER-005,采购合同,履约,验收期限不明确,是否约定甲方在收货后多少日内验收,仅约定验收但未约定验收期限,中,建议明确验收期限、逾期未验收的处理方式和异议期限,甲方收到货物后进行验收。
PUR-PER-006,采购合同,履约,验收标准不具体,是否明确质量标准、检测方法、合格标准,只写符合要求或质量合格,高,建议明确国家标准、行业标准、技术参数或样品标准,货物应符合甲方要求。
SER-FIN-001,服务合同,财务,服务费构成不明确,是否明确服务费包含的服务范围、人员、差旅、材料等,仅写服务费总额但未说明包含范围,中,建议列明服务费构成、包含项和不包含项,甲方向乙方支付服务费。
SER-FIN-002,服务合同,财务,阶段付款节点不清晰,是否明确按月、按阶段、按成果或按验收付款,服务周期较长但未约定阶段付款条件,中,建议明确阶段节点、对应成果、付款比例和付款期限,甲方分阶段支付服务费。
SER-FIN-003,服务合同,财务,成果不达标扣款机制缺失,是否约定服务未达标时的扣款、返工或退款规则,付款与成果质量无关联,中,建议补充服务不达标时的整改、扣款、退款或暂停付款机制,甲方按约支付全部服务费。
SER-FIN-004,服务合同,财务,额外费用审批缺失,是否约定超出服务范围的费用需经书面确认,存在额外工作或差旅成本但未约定审批流程,中,建议约定额外费用须经甲方书面确认后方可结算,额外费用按实际发生结算。
SER-FIN-005,服务合同,财务,提前终止结算不明确,是否约定服务提前终止时如何结算费用,合同可提前终止但未说明已履行部分费用计算,中,建议明确提前终止时按实际完成成果、服务周期或验收情况结算,合同终止后双方结算费用。
SER-FIN-006,服务合同,财务,付款与发票关系不清,是否明确开票时间、发票类型和付款触发关系,未说明先开票后付款还是先付款后开票,中,建议明确开票节点、发票类型和付款前提,乙方开具发票后甲方付款。
SER-LAW-001,服务合同,法务,服务成果知识产权归属不明,是否明确服务成果、文档、代码、方案的权利归属,涉及交付成果但未约定知识产权归属,高,建议明确服务成果知识产权归属、使用范围、授权方式和限制,乙方完成的成果归双方所有。
SER-LAW-002,服务合同,法务,人员替换规则缺失,是否约定核心服务人员更换需经甲方同意,服务质量依赖特定人员但未约定替换规则,中,建议约定核心人员名单、替换条件、提前通知和甲方确认权,乙方可安排人员提供服务。
SER-LAW-003,服务合同,法务,分包限制缺失,是否约定乙方是否可以分包或转委托,乙方可能将服务交由第三方完成但未约定限制,中,建议明确未经甲方书面同意不得分包或转委托,乙方负责完成服务。
SER-LAW-004,服务合同,法务,数据保密责任不足,服务过程中是否接触甲方数据、客户信息或业务资料,服务涉及数据但未约定数据保密和使用限制,高,建议补充数据使用范围、保密义务、删除返还和违约责任,乙方可使用甲方提供的资料。
SER-LAW-005,服务合同,法务,服务成果侵权责任缺失,是否约定乙方交付成果不得侵犯第三方权利,涉及设计、文案、代码、方案等成果但未约定侵权责任,高,建议约定乙方保证成果不侵权，并承担第三方索赔责任,乙方提交相关成果。
SER-LAW-006,服务合同,法务,责任上限缺失或过高,是否约定服务方赔偿范围和责任上限,未约定责任范围或责任范围明显不可控,中,建议根据业务风险约定合理赔偿范围、责任上限和例外情形,乙方承担全部损失。
SER-LAW-007,服务合同,法务,排他限制不清,是否存在排他合作、竞业限制或客户限制条款,排他或限制条款存在但范围、期限、地域不明确,中,建议明确限制范围、期限、地域、对象和违约后果,合作期间乙方不得服务其他客户。
SER-PER-001,服务合同,履约,服务范围不明确,是否明确服务内容、边界、不包含事项,仅写提供相关服务或咨询支持,高,建议列明服务范围、具体任务、边界和不包含事项,乙方向甲方提供相关服务。
SER-PER-002,服务合同,履约,交付物清单缺失,是否明确交付物名称、格式、数量和提交时间,服务合同涉及成果但未列明交付物,高,建议补充交付物清单，包括文档、报告、代码、方案等,乙方完成服务成果。
SER-PER-003,服务合同,履约,服务周期不明确,是否明确服务开始日期、结束日期和关键里程碑,只写服务期内提供服务但未明确起止日期,中,建议明确服务期限、阶段里程碑和延期处理方式,乙方在服务期内提供服务。
SER-PER-004,服务合同,履约,验收流程缺失,是否约定服务成果提交、验收、异议和整改流程,未说明甲方如何验收服务成果,高,建议明确提交方式、验收期限、验收标准、整改次数和视为验收情形,甲方确认后视为验收。
SER-PER-005,服务合同,履约,整改机制不明确,是否约定服务不符合要求时的整改期限和次数,仅写乙方负责整改但未说明期限和标准,中,建议明确整改期限、整改次数、再次验收和费用承担,乙方应根据甲方意见修改。
SER-PER-006,服务合同,履约,甲方配合事项不明确,是否明确甲方需提供资料、系统权限、反馈时间,服务履行依赖甲方输入但未约定甲方配合义务,中,建议明确甲方资料提供、反馈期限、审批流程及未配合后果,甲方应提供必要配合。
COP-FIN-001,合作协议,财务,收益分配机制不明确,是否明确收益分配比例、计算口径、确认方式和支付时间,合作协议涉及收益、分成、佣金、利润分配但仅约定另行协商或按实际情况确定,高,建议明确收益分配比例、计算口径、确认材料、结算周期和支付期限,双方根据项目实际情况另行协商收益分配。
COP-FIN-002,合作协议,财务,合作费用承担不明确,是否明确市场活动、差旅、资料制作、投标、客户拜访等费用承担方,约定双方共同开展合作但未说明各类合作费用由谁承担或如何审批,中,建议明确各类合作费用的承担方、审批流程和报销材料,合作过程中产生的相关费用由双方友好协商处理。
COP-FIN-003,合作协议,财务,佣金或分成结算依据不明确,是否明确佣金、服务费、分成的计算依据、结算凭证和确认流程,涉及佣金、分成、服务费但未明确以订单、回款、发票、验收单或结算单作为依据,中,建议明确结算依据，包括订单、客户回款凭证、验收单、发票、结算确认单等,乙方按项目贡献取得相应分成。
COP-FIN-004,合作协议,财务,回款分配节点不清晰,是否明确客户回款后收益分配的时间、条件和期限,约定客户回款后分配收益但未说明分配时间、比例、条件或付款期限,中,建议明确客户回款后的分配节点、分配比例、付款期限和逾期责任,客户付款后，双方再行确认分配安排。
COP-FIN-005,合作协议,财务,开票与税费责任不明确,是否明确开票主体、发票类型、开票时间、税费承担和收款主体,涉及合作收益、服务费或分成但未约定发票及税费安排,中,建议明确开票主体、发票类型、开票时间、税费承担和收款账户,相关费用支付及开票事宜由双方另行协商。
COP-LAW-001,合作协议,法务,合作范围不明确,是否明确合作事项、合作边界、双方角色和不包含事项,仅写资源共享、联合推广、共同合作等概括性表述但未明确具体合作范围,高,建议明确合作内容、合作边界、各方角色分工和不包含事项,双方在相关业务领域开展合作。
COP-LAW-002,合作协议,法务,客户归属与客户保护不明确,是否明确客户线索归属、跟进权、保护期、重复报备和客户冲突处理,涉及客户线索、客户资源、商机共享但未约定客户归属或客户保护机制,高,建议明确客户归属、报备规则、保护期限、冲突处理和违约责任,双方可共享客户资源并共同跟进。
COP-LAW-003,合作协议,法务,对外承诺或代理权限不明确,是否明确任何一方不得未经授权代表对方报价、承诺、签约或收款,合作中可能对外接触客户但未限制对外承诺、代理签约或代收款权限,高,建议明确未经书面授权不得以对方名义报价、承诺、签约、收款或承担义务,双方可共同对接客户并推进商务沟通。
COP-LAW-004,合作协议,法务,合作成果权属不明,是否明确联合方案、报告、文档、客户材料、数据成果等权利归属和使用范围,涉及联合方案、报告、文案、数据、客户材料等合作成果但未约定权属,高,建议明确合作成果的知识产权归属、使用范围、授权方式和限制,合作过程中形成的成果由双方共同使用。
COP-LAW-005,合作协议,法务,排他合作范围不清,是否明确排他合作的地域、行业、客户、产品范围和期限,出现独家、排他、优先合作等表述但未明确范围、期限或例外,中,建议明确排他合作的适用地域、行业、客户范围、期限和例外情形,双方在合作期间互为优先合作伙伴。
COP-LAW-006,合作协议,法务,绕单或飞单责任缺失,是否约定不得绕过对方直接联系客户、私下成交或转移合作机会,涉及客户线索、商机共享、联合销售但未约定绕单、飞单、私下成交责任,高,建议明确禁止绕单、飞单、私下成交及相应违约责任,双方应诚信开展客户合作。
COP-PER-001,合作协议,履约,商机线索反馈机制不明确,是否明确线索提交方式、反馈期限、跟进记录和确认流程,合作依赖客户线索或商机共享但未约定反馈期限和确认流程,中,建议明确线索提交方式、反馈期限、跟进记录和确认流程,一方提供客户线索后，另一方应及时跟进。
COP-PER-002,合作协议,履约,资源投入义务不明确,是否明确各方投入的人员、渠道、客户资源、技术支持、物料或预算,约定双方共同推广或共同合作但未明确具体资源投入义务,中,建议明确各方应投入的人员、渠道、材料、预算和完成时间,双方应投入必要资源推进合作。
COP-PER-003,合作协议,履约,联合项目确认流程缺失,是否明确具体合作项目、订单、客户跟进、投标或交付事项的确认方式,框架协议约定后续项目另行开展但未约定项目确认、订单或补充协议流程,中,建议明确每个具体项目应通过订单、项目确认单或补充协议进行书面确认,具体项目由双方后续沟通确定。
COP-PER-004,合作协议,履约,合作期限与退出机制不明确,是否明确合作期限、续约、提前退出、终止通知和终止后事项,合作协议未明确合作期限或未约定提前退出及终止后的处理方式,中,建议明确合作期限、续约条件、提前退出程序、通知期限和终止后处理,双方可根据实际情况终止合作。
COP-PER-005,合作协议,履约,未完成项目处理不明确,是否明确协议终止时未完成客户、项目、线索、费用、资料和成果如何处理,合作可能存在未完成项目但未约定终止后的交接、结算和客户跟进处理,中,建议明确未完成项目、客户跟进、费用结算、资料返还和成果使用安排,未完成项目由双方根据实际情况协商处理。
